ID	DOCULECT	CONCEPT	GLOSSID	IPA	TOKENS	COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGNATES
1574	Italian	star	80	stella	s t e lː a	454	3 1 7 5 7	ACYBZ	STELA	12	12.S.C 12.T.C 12.E.V 12.L.C 12.A.V	2.0 1.5 1.3 1.75 0.8	0	1364
1575	Hindi	star	80	taːraː	t aː r aː	454	1 7 5 7	AXBZ	TARA	10	10.T.C 10.A.V 10.R.C 10.A.V	2.0 1.5 1.75 0.8	0	1362
1576	Portuguese	star	80	əʃtrelɐ	ə ʃ t r e l ɐ	454	7 3 1 5 7 5 7	XMBCYBZ	ESTRELE	15	15.E.V 15.S.c 15.T.C 15.R.C 15.E.V 15.L.C 15.E.V	1.5 1.1 1.75 1.5 1.3 1.75 0.8	0	1364
1577	Dutch	stone	81	steːn	s t eː n	458	3 1 7 4	ACYN	STEN	5	5.S.C 5.T.C 5.E.V 5.N.c	2.0 1.5 1.3 0.8	0	1368
1578	Swedish	stone	81	steːn	s t eː n	458	3 1 7 4	ACYN	STEN	19	19.S.C 19.T.C 19.E.V 19.N.c	2.0 1.5 1.3 0.8	0	1368
1579	English	stone	81	stəʊn	s t əʊ n	458	3 1 7 4	ACYN	STEN	6	6.S.C 6.T.C 6.E.V 6.N.c	2.0 1.5 1.3 0.8	0	1368
1580	German	stone	81	ʃtain	ʃ t ai n	458	3 1 7 4	ACYN	STAN	8	8.S.C 8.T.C 8.A.V 8.N.c	2.0 1.5 1.3 0.8	0	1368
1581	Spanish	stone	81	pjeðɾa	p j e ð ɾ a	455	1 6 7 3 5 7	ACXBCZ	PJEDRA	18	18.P.C 18.J.C 18.E.V 18.D.C 18.R.C 18.A.V	2.0 1.5 1.5 1.75 1.5 0.8	0	1371
1582	Danish	stone	81	sdeˀn	s d eˀ n	458	3 1 7 4	ACYN	STEN	4	4.S.C 4.T.C 4.E.V 4.N.c	2.0 1.5 1.3 0.8	0	1368
1583	Bulgarian	stone	81	kamək	k a m ə k	459	1 7 4 7 1	AXBYN	KAMEK	2	2.K.C 2.A.V 2.M.C 2.E.V 2.K.c	2.0 1.5 1.75 1.3 0.8	0	1366
1584	Greek	stone	81	petra	p e t r a	460	1 7 1 5 7	AXBCZ	PETRA	9	9.P.C 9.E.V 9.T.C 9.R.C 9.A.V	2.0 1.5 1.75 1.5 0.8	0	1371
1585	Armenian	stone	81	kʰɑɾ	kʰ ɑ ɾ	461	1 7 5	AXN	KAR	1	1.K.C 1.A.V 1.R.c	2.0 1.5 0.8	0	1365
1586	Romanian	stone	81	pjatrə	p j a t r ə	455	1 6 7 1 5 7	ACXBCZ	PJATRE	16	16.P.C 16.J.C 16.A.V 16.T.C 16.R.C 16.E.V	2.0 1.5 1.5 1.75 1.5 0.8	0	1371
1587	Russian	stone	81	kamʲɪnʲ	k a mʲ ɪ nʲ	459	1 7 4 7 4	AXBYN	KAMIN	17	17.K.C 17.A.V 17.M.C 17.I.V 17.N.c	2.0 1.5 1.75 1.3 0.8	0	1366
1588	Polish	stone	81	kamʲɛɲ	k a mʲ ɛ ɲ	459	1 7 4 7 4	AXBYN	KAMEN	14	14.K.C 14.A.V 14.M.C 14.E.V 14.N.c	2.0 1.5 1.75 1.3 0.8	0	1366
1589	Norwegian	stone	81	stæjn	s t æ j n	458	3 1 7 6 4	ACYLN	STEJN	13	13.S.C 13.T.C 13.E.V 13.J.c 13.N.c	2.0 1.5 1.3 1.1 0.8	0	1368
1590	French	stone	81	pjɛʁ	p j ɛ ʁ	455	1 6 7 5	ACXN	PJER	7	7.P.C 7.J.C 7.E.V 7.R.c	2.0 1.5 1.5 0.8	0	1371
1591	Czech	stone	81	kaːmɛn	k aː m ɛ n	459	1 7 4 7 4	AXBYN	KAMEN	3	3.K.C 3.A.V 3.M.C 3.E.V 3.N.c	2.0 1.5 1.75 1.3 0.8	0	1366
1592	Icelandic	stone	81	steit͡n	s t ei t͡n	458	3 1 7 1	ACYN	STET	11	11.S.C 11.T.C 11.E.V 11.T.c	2.0 1.5 1.3 0.8	0	1368
1593	Italian	stone	81	sasso	s a sː o	456	3 7 3 7	AXBZ	SASU	12	12.S.C 12.A.V 12.S.C 12.U.V	2.0 1.5 1.75 0.8	0	1376
1594	Hindi	stone	81	pətʰːər	p ə tʰː ə r	457	1 7 1 7 5	AXBYN	PETER	10	10.P.C 10.E.V 10.T.C 10.E.V 10.R.c	2.0 1.5 1.75 1.3 0.8	0	1371
1595	Portuguese	stone	81	pɛdrɐ	p ɛ d r ɐ	455	1 7 1 5 7	AXBCZ	PETRE	15	15.P.C 15.E.V 15.T.C 15.R.C 15.E.V	2.0 1.5 1.75 1.5 0.8	0	1371
1596	Dutch	sun	82	zɔn	z ɔ n	463	3 7 4	AXN	SUN	5	5.S.C 5.U.V 5.N.c	2.0 1.5 0.8	0	1381
1597	Swedish	sun	82	soːl	s oː l	463	3 7 5	AXN	SUL	19	19.S.C 19.U.V 19.L.c	2.0 1.5 0.8	0	1380
1598	English	sun	82	sʌn	s ʌ n	463	3 7 4	AXN	SEN	6	6.S.C 6.E.V 6.N.c	2.0 1.5 0.8	0	1381
1599	German	sun	82	zɔnə	z ɔ n ə	463	3 7 4 7	AXBZ	SUNE	8	8.S.C 8.U.V 8.N.C 8.E.V	2.0 1.5 1.75 0.8	0	1381
1600	Spanish	sun	82	sol	s o l	463	3 7 5	AXN	SUL	18	18.S.C 18.U.V 18.L.c	2.0 1.5 0.8	0	1380
1601	Danish	sun	82	soˀl	s oˀ l	463	3 7 5	AXN	SUL	4	4.S.C 4.U.V 4.L.c	2.0 1.5 0.8	0	1380
1602	Bulgarian	sun	82	slɤnʦɛ	s l ɤ n ʦ ɛ	463	3 5 7 4 2 7	ACXMBZ	SLENCE	2	2.S.C 2.L.C 2.E.V 2.N.c 2.C.C 2.E.V	2.0 1.5 1.5 1.1 1.75 0.8	0	1378
1603	Greek	sun	82	iʎos	i ʎ o s	463	7 5 7 3	XBYN	ILUS	9	9.I.V 9.L.C 9.U.V 9.S.c	1.5 1.75 1.3 0.8	0	1385
1604	Armenian	sun	82	ɑɾɛv	ɑ ɾ ɛ v	462	7 5 7 3	XBYN	AREB	1	1.A.V 1.R.C 1.E.V 1.B.c	1.5 1.75 1.3 0.8	0	1377
1605	Romanian	sun	82	sware	s w a r e	463	3 6 7 5 7	ACXBZ	SWARE	16	16.S.C 16.W.C 16.A.V 16.R.C 16.E.V	2.0 1.5 1.5 1.75 0.8	0	1380
1606	Russian	sun	82	sonʦə	s o n ʦ ə	463	3 7 4 2 7	AXMBZ	SUNCE	17	17.S.C 17.U.V 17.N.c 17.C.C 17.E.V	2.0 1.5 1.1 1.75 0.8	0	1378
1607	Polish	sun	82	swɔnʲʦɛ	s w ɔ nʲ ʦ ɛ	463	3 6 7 4 2 7	ACXMBZ	SWUNCE	14	14.S.C 14.W.C 14.U.V 14.N.c 14.C.C 14.E.V	2.0 1.5 1.5 1.1 1.75 0.8	0	1378
1608	Norwegian	sun	82	suːl	s uː l	463	3 7 5	AXN	SYL	13	13.S.C 13.Y.V 13.L.c	2.0 1.5 0.8	0	1380
1609	French	sun	82	sɔlɛj	s ɔ l ɛ j	463	3 7 5 7 6	AXBYN	SULEJ	7	7.S.C 7.U.V 7.L.C 7.E.V 7.J.c	2.0 1.5 1.75 1.3 0.8	0	1380
1610	Czech	sun	82	slʊnʦɛ	s l ʊ n ʦ ɛ	463	3 5 7 4 2 7	ACXMBZ	SLYNCE	3	3.S.C 3.L.C 3.Y.V 3.N.c 3.C.C 3.E.V	2.0 1.5 1.5 1.1 1.75 0.8	0	1378
1611	Icelandic	sun	82	souːl	s ouː l	463	3 7 5	AXN	SUL	11	11.S.C 11.U.V 11.L.c	2.0 1.5 0.8	0	1380
1612	Italian	sun	82	sole	s o l e	463	3 7 5 7	AXBZ	SULE	12	12.S.C 12.U.V 12.L.C 12.E.V	2.0 1.5 1.75 0.8	0	1380
1613	Hindi	sun	82	suːrəʤ	s uː r ə ʤ	463	3 7 5 7 2	AXBYN	SYREC	10	10.S.C 10.Y.V 10.R.C 10.E.V 10.C.c	2.0 1.5 1.75 1.3 0.8	0	1385
1614	Portuguese	sun	82	sɔl	s ɔ l	463	3 7 5	AXN	SUL	15	15.S.C 15.U.V 15.L.c	2.0 1.5 0.8	0	1380
1615	Dutch	swim (V)	83	zʋɛmə	z ʋ ɛ m ə	465	3 6 7 4 7	ACXBZ	SWEME	5	5.S.C 5.W.C 5.E.V 5.M.C 5.E.V	2.0 1.5 1.5 1.75 0.8	0	1389
1616	Swedish	swim (V)	83	simːa	s i mː a	465	3 7 4 7	AXBZ	SIMA	19	19.S.C 19.I.V 19.M.C 19.A.V	2.0 1.5 1.75 0.8	0	1389
1617	English	swim (V)	83	sʋɪm	s ʋ ɪ m	465	3 6 7 4	ACXN	SWIM	6	6.S.C 6.W.C 6.I.V 6.M.c	2.0 1.5 1.5 0.8	0	1389
1618	German	swim (V)	83	ʃvɪmən	ʃ v ɪ m ə n	465	3 3 7 4 7 4	ACYBYN	SBIMEN	8	8.S.C 8.B.C 8.I.V 8.M.C 8.E.V 8.N.c	2.0 1.5 1.3 1.75 1.3 0.8	0	1389
1619	Spanish	swim (V)	83	naðaɾ	n a ð a ɾ	466	4 7 3 7 5	AXBYN	NADAR	18	18.N.C 18.A.V 18.D.C 18.A.V 18.R.c	2.0 1.5 1.75 1.3 0.8	0	1397
1620	Danish	swim (V)	83	svœmə	s v œ m ə	465	3 3 7 4 7	ACYBZ	SBUME	4	4.S.C 4.B.C 4.U.V 4.M.C 4.E.V	2.0 1.5 1.3 1.75 0.8	0	1389
1621	Bulgarian	swim (V)	83	pluvəm	p l u v ə m	467	1 5 7 3 7 4	ACXBYN	PLYBEM	2	2.P.C 2.L.C 2.Y.V 2.B.C 2.E.V 2.M.c	2.0 1.5 1.5 1.75 1.3 0.8	0	1387
1622	Greek	swim (V)	83	kolimbo	k o l i m b o	469	1 7 5 7 4 1 7	AXBYMBZ	KULIMPU	9	9.K.C 9.U.V 9.L.C 9.I.V 9.M.c 9.P.C 9.U.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	0	1394
1623	Armenian	swim (V)	83	loʁɑl	l o ʁ ɑ l	467	5 7 5 7 5	AXBYN	LURAL	1	1.L.C 1.U.V 1.R.C 1.A.V 1.L.c	2.0 1.5 1.75 1.3 0.8	0	1386
1624	Romanian	swim (V)	83	ɨnota	ɨ n o t a	466	7 4 7 1 7	XBYBZ	INUTA	16	16.I.V 16.N.C 16.U.V 16.T.C 16.A.V	1.5 1.75 1.3 1.75 0.8	0	1397
1625	Russian	swim (V)	83	plɨtʲ	p l ɨ tʲ	467	1 5 7 1	ACXN	PLIT	17	17.P.C 17.L.C 17.I.V 17.T.c	2.0 1.5 1.5 0.8	0	1387
1626	Polish	swim (V)	83	pwɨvaʨ	p w ɨ v a ʨ	467	1 6 7 3 7 2	ACXBYN	PWIBAC	14	14.P.C 14.W.C 14.I.V 14.B.C 14.A.V 14.C.c	2.0 1.5 1.5 1.75 1.3 0.8	0	1387
1627	Norwegian	swim (V)	83	sʋœmə	s ʋ œ m ə	465	3 6 7 4 7	ACXBZ	SWUME	13	13.S.C 13.W.C 13.U.V 13.M.C 13.E.V	2.0 1.5 1.5 1.75 0.8	0	1389
1628	French	swim (V)	83	naʒe	n a ʒ e	464	4 7 3 7	AXBZ	NASE	7	7.N.C 7.A.V 7.S.C 7.E.V	2.0 1.5 1.75 0.8	0	1392
1629	Czech	swim (V)	83	plavat	p l a v a t	467	1 5 7 3 7 1	ACXBYN	PLABAT	3	3.P.C 3.L.C 3.A.V 3.B.C 3.A.V 3.T.c	2.0 1.5 1.5 1.75 1.3 0.8	0	1387
1630	Icelandic	swim (V)	83	synta	s y n t a	468	3 7 4 1 7	AXMBZ	SYNTA	11	11.S.C 11.Y.V 11.N.c 11.T.C 11.A.V	2.0 1.5 1.1 1.75 0.8	0	1396
1631	Italian	swim (V)	83	nwotare	n w o t a r e	466	4 6 7 1 7 5 7	ACXBYBZ	NWUTARE	12	12.N.C 12.W.C 12.U.V 12.T.C 12.A.V 12.R.C 12.E.V	2.0 1.5 1.5 1.75 1.3 1.75 0.8	0	1397
1632	Hindi	swim (V)	83	tɛːrnaː	t ɛː r n aː	470	1 7 5 4 7	AXMBZ	TERNA	10	10.T.C 10.E.V 10.R.c 10.N.C 10.A.V	2.0 1.5 1.1 1.75 0.8	0	1395
1633	Portuguese	swim (V)	83	nɐdar	n ɐ d a r	466	4 7 1 7 5	AXBYN	NETAR	15	15.N.C 15.E.V 15.T.C 15.A.V 15.R.c	2.0 1.5 1.75 1.3 0.8	0	1397
1634	Dutch	tail	84	staːrt	s t aː r t	473	3 1 7 5 1	ACYLN	START	5	5.S.C 5.T.C 5.A.V 5.R.c 5.T.c	2.0 1.5 1.3 1.1 0.8	0	1402
1635	Swedish	tail	84	ɧɛrt	ɧ ɛ r t	473	3 7 5 1	AXLN	SERT	19	19.S.C 19.E.V 19.R.c 19.T.c	2.0 1.5 1.1 0.8	0	1402
1636	English	tail	84	teɪl	t eɪ l	484	1 7 5	AXN	TEL	6	6.T.C 6.E.V 6.L.c	2.0 1.5 0.8	0	1403
1637	German	tail	84	ʃvant͡s	ʃ v a n t͡s	478	3 3 7 4 2	ACYLN	SBANC	8	8.S.C 8.B.C 8.A.V 8.N.c 8.C.c	2.0 1.5 1.3 1.1 0.8	0	1405
1638	Spanish	tail	84	kola	k o l a	471	1 7 5 7	AXBZ	KULA	18	18.K.C 18.U.V 18.L.C 18.A.V	2.0 1.5 1.75 0.8	0	1404
1639	Danish	tail	84	hæːlə	h æː l ə	482	3 7 5 7	AXBZ	HELE	4	4.H.C 4.E.V 4.L.C 4.E.V	2.0 1.5 1.75 0.8	0	1401
1640	Bulgarian	tail	84	opaʃkə	o p a ʃ k ə	476	7 1 7 3 1 7	XBYMBZ	UPASKE	2	2.U.V 2.P.C 2.A.V 2.S.c 2.K.C 2.E.V	1.5 1.75 1.3 1.1 1.75 0.8	0	1399
1641	Greek	tail	84	ura	u r a	475	7 5 7	XBZ	YRA	9	9.Y.V 9.R.C 9.A.V	1.5 1.75 0.8	0	1406
1642	Armenian	tail	84	poʧʰ	p o ʧʰ	474	1 7 2	AXN	PUC	1	1.P.C 1.U.V 1.C.c	2.0 1.5 0.8	0	1398
1643	Romanian	tail	84	kwadə	k w a d ə	471	1 6 7 1 7	ACXBZ	KWATE	16	16.K.C 16.W.C 16.A.V 16.T.C 16.E.V	2.0 1.5 1.5 1.75 0.8	0	1404
1644	Russian	tail	84	xvost	x v o s t	479	3 3 7 3 1	ACYLN	GBUST	17	17.G.C 17.B.C 17.U.V 17.S.c 17.T.c	2.0 1.5 1.3 1.1 0.8	0	1414
1645	Polish	tail	84	ɔɡɔn	ɔ ɡ ɔ n	483	7 1 7 4	XBYN	UKUN	14	14.U.V 14.K.C 14.U.V 14.N.c	1.5 1.75 1.3 0.8	0	1411
1646	Norwegian	tail	84	hɑːlə	h ɑː l ə	482	3 7 5 7	AXBZ	HALE	13	13.H.C 13.A.V 13.L.C 13.E.V	2.0 1.5 1.75 0.8	0	1401
1647	French	tail	84	kø	k ø	471	1 7	AX	KU	7	7.K.C 7.U.V	2.0 1.5	0	1404
1648	Czech	tail	84	oʦas	o ʦ a s	481	7 2 7 3	XBYN	UCAS	3	3.U.V 3.C.C 3.A.V 3.S.c	1.5 1.75 1.3 0.8	0	1399
1649	Icelandic	tail	84	haːlɪ	h aː l ɪ	482	3 7 5 7	AXBZ	HALI	11	11.H.C 11.A.V 11.L.C 11.I.V	2.0 1.5 1.75 0.8	0	1401
1650	Italian	tail	84	koda	k o d a	471	1 7 1 7	AXBZ	KUTA	12	12.K.C 12.U.V 12.T.C 12.A.V	2.0 1.5 1.75 0.8	0	1404
1651	Hindi	tail	84	puːʧʰ	p uː ʧʰ	472	1 7 2	AXN	PYC	10	10.P.C 10.Y.V 10.C.c	2.0 1.5 0.8	0	1407
1652	Portuguese	tail	84	kawdɐ	k a w d ɐ	471	1 7 6 1 7	AXMBZ	KAWTE	15	15.K.C 15.A.V 15.W.c 15.T.C 15.E.V	2.0 1.5 1.1 1.75 0.8	0	1412
1653	Spanish	tail	84	ravo	r a v o	480	5 7 3 7	AXBZ	RABU	18	18.R.C 18.A.V 18.B.C 18.U.V	2.0 1.5 1.75 0.8	0	1418
1654	Icelandic	tail	84	skɔʰt	s k ɔʰ t	477	3 1 7 1	ACYN	SKUT	11	11.S.C 11.K.C 11.U.V 11.T.c	2.0 1.5 1.3 0.8	0	1405
1655	Portuguese	tail	84	ʀabu	ʀ a b u	480	5 7 1 7	AXBZ	RAPY	15	15.R.C 15.A.V 15.P.C 15.Y.V	2.0 1.5 1.75 0.8	0	1418
1656	Dutch	that	85	diː	d iː	487	1 7	AX	TI	5	5.T.C 5.I.V	2.0 1.5	0	1422
1657	Swedish	that	85	də	d ə	487	1 7	AX	TE	19	19.T.C 19.E.V	2.0 1.5	0	1422
1658	English	that	85	ðæt	ð æ t	487	3 7 1	AXN	DET	6	6.D.C 6.E.V 6.T.c	2.0 1.5 0.8	0	1422
1659	German	that	85	jeːnər	j eː n ə r	489	6 7 4 7 5	AXBYN	JENER	8	8.J.C 8.E.V 8.N.C 8.E.V 8.R.c	2.0 1.5 1.75 1.3 0.8	0	1426
1660	Spanish	that	85	akel	a k e l	486	7 1 7 5	XBYN	AKEL	18	18.A.V 18.K.C 18.E.V 18.L.c	1.5 1.75 1.3 0.8	0	1430
1661	Danish	that	85	de	d e	487	1 7	AX	TE	4	4.T.C 4.E.V	2.0 1.5	0	1422
1662	Bulgarian	that	85	ɔnzi	ɔ n z i	485	7 4 3 7	XMBZ	UNSI	2	2.U.V 2.N.c 2.S.C 2.I.V	1.5 1.1 1.75 0.8	0	1420
1663	Greek	that	85	ecino	e c i n o	486	7 1 7 4 7	XBYBZ	ECINU	9	9.E.V 9.C.C 9.I.V 9.N.C 9.U.V	1.5 1.75 1.3 1.75 0.8	0	1427
1664	Armenian	that	85	ɑɪ̯n	ɑɪ̯ n	485	7 4	XN	AN	1	1.A.V 1.N.c	1.5 0.8	0	1419
1665	Romanian	that	85	aʧel	a ʧ e l	486	7 2 7 5	XBYN	ACEL	16	16.A.V 16.C.C 16.E.V 16.L.c	1.5 1.75 1.3 0.8	0	1434
1666	Russian	that	85	to	t o	487	1 7	AX	TU	17	17.T.C 17.U.V	2.0 1.5	0	1422
1667	Polish	that	85	tamtɔ	t a m t ɔ	487	1 7 4 1 7	AXMBZ	TAMTU	14	14.T.C 14.A.V 14.M.c 14.T.C 14.U.V	2.0 1.5 1.1 1.75 0.8	0	1421
1668	Norwegian	that	85	deː	d eː	487	1 7	AX	TE	13	13.T.C 13.E.V	2.0 1.5	0	1422
1669	French	that	85	səla	s ə l a	486	3 7 5 7	AXBZ	SELA	7	7.S.C 7.E.V 7.L.C 7.A.V	2.0 1.5 1.75 0.8	0	1425
1670	Czech	that	85	tamto	t a m t o	487	1 7 4 1 7	AXMBZ	TAMTU	3	3.T.C 3.A.V 3.M.c 3.T.C 3.U.V	2.0 1.5 1.1 1.75 0.8	0	1421
1671	Icelandic	that	85	θɛsːɪ	θ ɛ sː ɪ	487	3 7 3 7	AXBZ	DESI	11	11.D.C 11.E.V 11.S.C 11.I.V	2.0 1.5 1.75 0.8	0	1429
1672	Italian	that	85	kwello	k w e lː o	486	1 6 7 5 7	ACXBZ	KWELU	12	12.K.C 12.W.C 12.E.V 12.L.C 12.U.V	2.0 1.5 1.5 1.75 0.8	0	1430
1673	Hindi	that	85	və	v ə	490	3 7	AX	BE	10	10.B.C 10.E.V	2.0 1.5	0	1428
1674	Portuguese	that	85	ɐkelə	ɐ k e l ə	486	7 1 7 5 7	XBYBZ	EKELE	15	15.E.V 15.K.C 15.E.V 15.L.C 15.E.V	1.5 1.75 1.3 1.75 0.8	0	1430
1675	Danish	that	85	hiˀn	h iˀ n	486	3 7 4	AXN	HIN	4	4.H.C 4.I.V 4.N.c	2.0 1.5 0.8	0	1438
1676	Icelandic	that	85	sauː	s auː	488	3 7	AX	SA	11	11.S.C 11.A.V	2.0 1.5	0	1425
2091	Dutch	thin	107	fɛɪn	f ɛɪ n	-599	3 7 4	AXN	BEN	5	5.B.C 5.E.V 5.N.c	2.0 1.5 0.8	0	1443
2092	Swedish	thin	107	smal	s m a l	596	3 4 7 5	ACXN	SMAL	19	19.S.C 19.M.C 19.A.V 19.L.c	2.0 1.5 1.5 0.8	0	1457
2093	English	thin	107	θɪn	θ ɪ n	601	3 7 4	AXN	DIN	6	6.D.C 6.I.V 6.N.c	2.0 1.5 0.8	0	1441
2094	German	thin	107	dʏn	d ʏ n	601	1 7 4	AXN	TYN	8	8.T.C 8.Y.V 8.N.c	2.0 1.5 0.8	0	1441
2095	Spanish	thin	107	delɣaðo	d e l ɣ a ð o	593	1 7 5 3 7 3 7	AXMBYBZ	TELGADU	18	18.T.C 18.E.V 18.L.c 18.G.C 18.A.V 18.D.C 18.U.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	1456
2096	Danish	thin	107	tønˀ	t ø nˀ	601	1 7 4	AXN	TUN	4	4.T.C 4.U.V 4.N.c	2.0 1.5 0.8	0	1441
2097	Bulgarian	thin	107	tɤnək	t ɤ n ə k	601	1 7 4 7 1	AXBYN	TENEK	2	2.T.C 2.E.V 2.N.C 2.E.V 2.K.c	2.0 1.5 1.75 1.3 0.8	0	1440
2098	Greek	thin	107	leptos	l e p t o s	597	5 7 1 1 7 3	AXMBYN	LEPTUS	9	9.L.C 9.E.V 9.P.c 9.T.C 9.U.V 9.S.c	2.0 1.5 1.1 1.75 1.3 0.8	0	1447
2099	Armenian	thin	107	bɑɾɑk	b ɑ ɾ ɑ k	-594	1 7 5 7 1	AXBYN	PARAK	1	1.P.C 1.A.V 1.R.C 1.A.V 1.K.c	2.0 1.5 1.75 1.3 0.8	0	1439
2100	Romanian	thin	107	subʦire	s u b ʦ i r e	598	3 7 1 2 7 5 7	AXBCYBZ	SYPCIRE	16	16.S.C 16.Y.V 16.P.C 16.C.C 16.I.V 16.R.C 16.E.V	2.0 1.5 1.75 1.5 1.3 1.75 0.8	0	1454
2101	Russian	thin	107	tonkʲɪj	t o n kʲ ɪ j	601	1 7 4 1 7 6	AXMBYN	TUNKIJ	17	17.T.C 17.U.V 17.N.c 17.K.C 17.I.V 17.J.c	2.0 1.5 1.1 1.75 1.3 0.8	0	1441
2102	Polish	thin	107	ʨɛ̃nki	ʨ ɛ̃ n k i	601	2 7 4 1 7	AXMBZ	CENKI	14	14.C.C 14.E.V 14.N.c 14.K.C 14.I.V	2.0 1.5 1.1 1.75 0.8	0	1441
2103	Norwegian	thin	107	tyn	t y n	601	1 7 4	AXN	TYN	13	13.T.C 13.Y.V 13.N.c	2.0 1.5 0.8	0	1441
2104	French	thin	107	mɛ̃s	m ɛ̃ s	600	4 7 3	AXN	MES	7	7.M.C 7.E.V 7.S.c	2.0 1.5 0.8	0	1445
2105	Czech	thin	107	tɛŋkiː	t ɛ ŋ k iː	601	1 7 4 1 7	AXMBZ	TENKI	3	3.T.C 3.E.V 3.N.c 3.K.C 3.I.V	2.0 1.5 1.1 1.75 0.8	0	1441
2106	Icelandic	thin	107	θʏnːʏr	θ ʏ nː ʏ r	601	3 7 4 7 5	AXBYN	DYNYR	11	11.D.C 11.Y.V 11.N.C 11.Y.V 11.R.c	2.0 1.5 1.75 1.3 0.8	0	1440
2107	Italian	thin	107	fine	f i n e	592	3 7 4 7	AXBZ	BINE	12	12.B.C 12.I.V 12.N.C 12.E.V	2.0 1.5 1.75 0.8	0	1443
2108	Hindi	thin	107	pətlaː	p ə t l aː	595	1 7 1 5 7	AXBCZ	PETLA	10	10.P.C 10.E.V 10.T.C 10.L.C 10.A.V	2.0 1.5 1.75 1.5 0.8	0	1448
2109	Portuguese	thin	107	finu	f i n u	592	3 7 4 7	AXBZ	BINY	15	15.B.C 15.I.V 15.N.C 15.Y.V	2.0 1.5 1.75 0.8	0	1443
2110	Dutch	thin	107	dʉn	d ʉ n	601	1 7 4	AXN	TYN	5	5.T.C 5.Y.V 5.N.c	2.0 1.5 0.8	0	1441
2111	Swedish	thin	107	tunː	t u nː	601	1 7 4	AXN	TYN	19	19.T.C 19.Y.V 19.N.c	2.0 1.5 0.8	0	1441
2112	Spanish	thin	107	sutil	s u t i l	598	3 7 1 7 5	AXBYN	SYTIL	18	18.S.C 18.Y.V 18.T.C 18.I.V 18.L.c	2.0 1.5 1.75 1.3 0.8	0	1454
2113	Danish	thin	107	smalˀ	s m a lˀ	596	3 4 7 5	ACXN	SMAL	4	4.S.C 4.M.C 4.A.V 4.L.c	2.0 1.5 1.5 0.8	0	1457
2114	Romanian	thin	107	fin	f i n	592	3 7 4	AXN	BIN	16	16.B.C 16.I.V 16.N.c	2.0 1.5 0.8	0	1443
2115	Norwegian	thin	107	smɑːl	s m ɑː l	596	3 4 7 5	ACXN	SMAL	13	13.S.C 13.M.C 13.A.V 13.L.c	2.0 1.5 1.5 0.8	0	1457
2116	Italian	thin	107	sottile	s o tː i l e	598	3 7 1 7 5 7	AXBYBZ	SUTILE	12	12.S.C 12.U.V 12.T.C 12.I.V 12.L.C 12.E.V	2.0 1.5 1.75 1.3 1.75 0.8	0	1454
2117	Portuguese	thin	107	dɛlgadu	d ɛ l g a d u	593	1 7 5 1 7 1 7	AXMBYBZ	TELKATY	15	15.T.C 15.E.V 15.L.c 15.K.C 15.A.V 15.T.C 15.Y.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	1456
1677	Dutch	this	86	deːzə	d eː z ə	492	1 7 3 7	AXBZ	TESE	5	5.T.C 5.E.V 5.S.C 5.E.V	2.0 1.5 1.75 0.8	0	1462
1678	Swedish	this	86	dɛta	d ɛ t a	492	1 7 1 7	AXBZ	TETA	19	19.T.C 19.E.V 19.T.C 19.A.V	2.0 1.5 1.75 0.8	0	1459
1679	English	this	86	ðɪs	ð ɪ s	492	3 7 3	AXN	DIS	6	6.D.C 6.I.V 6.S.c	2.0 1.5 0.8	0	1462
1680	German	this	86	diːzər	d iː z ə r	492	1 7 3 7 5	AXBYN	TISER	8	8.T.C 8.I.V 8.S.C 8.E.V 8.R.c	2.0 1.5 1.75 1.3 0.8	0	1462
1681	Spanish	this	86	este	e s t e	492	7 3 1 7	XMBZ	ESTE	18	18.E.V 18.S.c 18.T.C 18.E.V	1.5 1.1 1.75 0.8	0	1472
1682	Danish	this	86	dɛnə	d ɛ n ə	492	1 7 4 7	AXBZ	TENE	4	4.T.C 4.E.V 4.N.C 4.E.V	2.0 1.5 1.75 0.8	0	1459
1683	Bulgarian	this	86	tɔzi	t ɔ z i	492	1 7 3 7	AXBZ	TUSI	2	2.T.C 2.U.V 2.S.C 2.I.V	2.0 1.5 1.75 0.8	0	1459
1684	Greek	this	86	afto	a f t o	492	7 3 1 7	XMBZ	ABTU	9	9.A.V 9.B.c 9.T.C 9.U.V	1.5 1.1 1.75 0.8	0	1466
1685	Armenian	this	86	ɑɪs	ɑɪ s	492	7 3	XN	AS	1	1.A.V 1.S.c	1.5 0.8	0	1458
1686	Romanian	this	86	aʧest	a ʧ e s t	493	7 2 7 3 1	XBYLN	ACEST	16	16.A.V 16.C.C 16.E.V 16.S.c 16.T.c	1.5 1.75 1.3 1.1 0.8	0	1472
1687	Russian	this	86	ɛtə	ɛ t ə	492	7 1 7	XBZ	ETE	17	17.E.V 17.T.C 17.E.V	1.5 1.75 0.8	0	1459
1688	Polish	this	86	tɔ	t ɔ	492	1 7	AX	TU	14	14.T.C 14.U.V	2.0 1.5	0	1459
